Timestamp,Estado_Facial,Sentimiento_Texto,Congruencia,Texto
20:53:23,NEUTRAL,NEUTRAL,COHERENTE,
20:53:24,NEUTRAL,NEUTRAL,COHERENTE,
20:53:25,NEUTRAL,NEUTRAL,COHERENTE,
20:53:25,NEUTRAL,NEUTRAL,COHERENTE,
20:53:25,NEUTRAL,NEUTRAL,COHERENTE,
20:53:26,NEUTRAL,NEUTRAL,COHERENTE,
20:53:26,NEUTRAL,NEUTRAL,COHERENTE,
20:53:26,NEUTRAL,NEUTRAL,COHERENTE,
20:53:26,NEUTRAL,NEUTRAL,COHERENTE,
20:53:26,NEUTRAL,NEUTRAL,COHERENTE,
20:53:26,NEUTRAL,NEUTRAL,COHERENTE,
20:53:26,NEUTRAL,NEUTRAL,COHERENTE,
20:53:27,NEUTRAL,NEUTRAL,COHERENTE,
20:53:27,NEUTRAL,NEUTRAL,COHERENTE,
20:53:27,NEUTRAL,NEUTRAL,COHERENTE,
20:53:27,NEUTRAL,NEUTRAL,COHERENTE,
20:53:27,NEUTRAL,NEUTRAL,COHERENTE,
20:53:27,NEUTRAL,NEUTRAL,COHERENTE,
20:53:27,NEUTRAL,NEUTRAL,COHERENTE,
20:53:27,NEUTRAL,NEUTRAL,COHERENTE,
20:53:27,NEUTRAL,NEUTRAL,COHERENTE,
20:53:27,SONRIENDO,NEUTRAL,COHERENTE,
20:53:27,SONRIENDO,NEUTRAL,COHERENTE,
20:53:27,NEUTRAL,NEUTRAL,COHERENTE,
20:53:27,NEUTRAL,NEUTRAL,COHERENTE,es un
20:53:27,NEUTRAL,NEUTRAL,COHERENTE,es un
20:53:27,NEUTRAL,NEUTRAL,COHERENTE,es un
20:53:28,NEUTRAL,NEUTRAL,COHERENTE,es un
20:53:28,NEUTRAL,NEUTRAL,COHERENTE,es un
20:53:28,NEUTRAL,NEUTRAL,COHERENTE,es un
20:53:28,NEUTRAL,NEUTRAL,COHERENTE,es un
20:53:28,NEUTRAL,NEUTRAL,COHERENTE,es un analizador
20:53:28,HABLANDO,NEUTRAL,COHERENTE,es un analizador
20:53:28,HABLANDO,NEUTRAL,COHERENTE,es un analizador
20:53:28,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo
20:53:28,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo
20:53:28,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo
20:53:28,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real
20:53:28,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real
20:53:28,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real
20:53:28,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real
20:53:29,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real
20:53:29,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real
20:53:29,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real
20:53:29,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un
20:53:29,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un
20:53:29,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un
20:53:29,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un
20:53:29,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un
20:53:29,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un
20:53:29,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un
20:53:29,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un
20:53:29,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un la transición
20:53:29,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un la transición
20:53:29,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un la transición
20:53:30,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un la transición
20:53:30,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una
20:53:30,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una
20:53:30,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una
20:53:30,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una
20:53:30,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de
20:53:30,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de
20:53:30,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de
20:53:30,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de
20:53:30,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de
20:53:30,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de
20:53:30,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de
20:53:30,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de
20:53:30,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de video que
20:53:30,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de video que
20:53:30,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de video que
20:53:31,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de video que
20:53:31,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de video que te dice
20:53:31,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de video que te dice
20:53:31,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de video que te dice
20:53:31,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de video que te dice
20:53:31,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de video que te dice
20:53:31,HABLANDO,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de video que te dice
20:53:31,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de video que te dice
20:53:31,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de video que te dice
20:53:31,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de video que te dice hola
20:53:31,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de video que te dice hola
20:53:31,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de video que te dice hola
20:53:31,NEUTRAL,NEUTRAL,COHERENTE,es un analizador en tiempo real un una transcripción de video que te dice hola muchachos
